% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
1	1.25	1	1	2	4	119	251328	118	249216	0.003	0	0.003	0.003	2112	0	2112	2112	
1	1.25	1	2	1	4	120	252384	119	250272	0.003	0	0.003	0.003	2103.13	96.8034	1056	2112	
1.25	1.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
1.25	1.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
1.5	1.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
1.5	1.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
1.75	2	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
1.75	2	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2	2.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2	2.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2.25	2.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2.25	2.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2.5	2.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2.5	2.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2.75	3	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
2.75	3	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3	3.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3	3.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3.25	3.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3.25	3.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3.5	3.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3.5	3.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3.75	4	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
3.75	4	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4	4.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4	4.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4.25	4.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4.25	4.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4.5	4.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4.5	4.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4.75	5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
4.75	5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5	5.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5	5.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5.25	5.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5.25	5.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5.5	5.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5.5	5.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5.75	6	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
5.75	6	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6	6.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6	6.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6.25	6.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6.25	6.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6.5	6.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6.5	6.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6.75	7	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
6.75	7	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7	7.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7	7.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7.25	7.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7.25	7.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7.5	7.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7.5	7.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7.75	8	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
7.75	8	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8	8.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8	8.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8.25	8.5	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8.25	8.5	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8.5	8.75	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8.5	8.75	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8.75	9	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
8.75	9	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
9	9.25	1	1	2	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
9	9.25	1	2	1	4	125	264000	125	264000	0.003	0	0.003	0.003	2112	0	2112	2112	
